Provenance,ID,Passage,OriginalTag,Explanation,Assignment,Title,Author,Date,Filename,TruthTag,KeyPhrase,Explanation,Tagger1,Reviewer,ReviewTag,ReviewExplanation,
"Unfiltered Annotation, Round 12",2905_3710_3716,"Might life not yet be made to expiate the recollection of this accursed stain which seas would not wash out ? Could happi- ness be possible again ? Would Kathleen ever look upon him, except to loathe and hate his very sight ? ""Ah ! Kathleen, Kathleen, my poor, poor wife,'^ he cried out in his agony, ""why didn't I heed your darlin' voice when you bid me not go from you that time ?",IDK,,Jessica,"Terence McGowan, the Irish tenant",Tottenham G L George Loftus,1870,2905.txt,nondomestic,"Waking 
or sleeping, lying down or rising up, that fell shadow 
would pursue and darken every thought, until, as he 
stood sometimes upon the edge of frowning steeps, 
or looked into the deep, dark waters of the mountain 
tarns, a something whispered, — ","This passage isn't a specific scene so much as a thought that this character has again, generally, according to this sentence, in these specific outdoor, nondomestic spaces. ",Jessica,Sophie,other,"Waking 
or sleeping, lying down or rising up, that fell shadow 
would pursue and darken every thought, until, as he 
stood sometimes upon the edge of frowning steeps, 
or looked into the deep, dark waters of the mountain 
tarns, a something whispered, — ","I think these thoughts of the character are not connected to one specific space, and they seem to occur indoors (lying down) as well as outdoors, so I thought of it as non-spatial."
Round 2 Annotations,1394_1238_1244,"Our best may be very bad,"" laughed Erskine ; ""if so, you must show us how to better it. Tiny."" ''I should get Tin}^ to teach you how to treat a lord, dear,"" said Euth, wlio saw nothing to laugh at, and seemed likely to lend her husband a severer support than the occasion needed. "" Say Lord Manister ! "" suggested Erskine. "" Will you show me on him ? "" "" I may if you're good ‚Äî you wait and see,"" said Tiny lightly. And lightly the matter was allowed to drop.",IDK,"dialogue, could be domestic",Mark,Tiny Luttrell,Hornung E W Ernest William 1866 1921,1893,1394.txt,domestic,"Yet she was able to toss the card across the breakfast-table to Erskine, merely remarking, ""Should we go?""",At the Breakfast table,Mark,Sophie,domestic,"Yet she 
was able to toss the card across the breakfast- 
table to Erskine, merely remarking, '' Should we 
go ? """,They are sitting at the breakfast table.
1000 Annotations,0219_5055_5061,"This time it was none other than a Lady of Quality ‚Äö√Ñ√Æ a Grande Dame de par le monde. She came in splendid attire, sailing into the studio like some richly-adorned pinnace or royal yacht. A lady of a certain age, but still comely in the eyes of man. ' Lady Frances ! ' cried Alec. ' This is, indeed, unexpected. And ^^ou know that it is the greatest honour for me to wait upon you.' ' Yes, yes ; I know that.",NA,,Mark,Armorel of Lyonesse : a romance of to-day,"Besant, Walter",1890,219.txt,domestic,"The house, which was in St. John's Wood, stood in an old garden at the end of a cul-de-sac off the main road : it was, therefore, quiet: the house itself was new, built in the style now familiar, and put up for the convenience of those who believe that there is nothing in the world to be considered except Art. Therefore there was a spacious hall : stairs broad enough for an ancient mansion led to the first floor and to the great studio. There were also three or four small cupboards, called bed-rooms, dining-room, and anything else you might please. But the studio was the real thing. The house was built for the studio.","Unclear - character is in the library/den/studio of a house he owns outside of town (St. Johns Woods) where he does his work, but lives while he works. The house is designed around the studio, but it is a house.",Mark,Sophie,domestic,"Alec Feilding — everybody, even those who 
had never seen him, called him Alec — stood 
before the fire in his own den. In his hand 
he held a manuscript, which he was reading 
with great care, making dabs and dashes on 
it with a thick red pencil. 


Sometimes he called the place his studio, 
sometimes his study.",This seems to be an office as well as the place where this person lives.
1000 Annotations,0852_5643_5649,"Your chastity, 1 swear to you, shall run no risk in that time from me. But on the slightest noise at the door of the chamber, on the least opposition on your part, or any other, on the least attack upon myself, the three balls with which each of these barrels is charged shall dispatch you and your infant at once. This I swear by my hope of salvation !\ The landlord and his wife would sooner haye ex- pected the dissolution of nature than such an address. Both were silent for a minute, and then both did all they could. The woman piteously entreated Tottleben to permit her to go, threatened to swoon, to fall in labour on the spot, nay even to die ; but in vain. The husband was first at a loss to conceive what all this meant ; he then had recourse to entreaties and protes- tations, assuring the Count that he was safe in his house as though he were in Abraham's bosom.""",NA,,Mark,Tales of real life. Forming a sequel to Miss Edgeworth's Tales of fashionable life,"Edgeworth, Maria",1810,852.txt,other,"A decent public house, that stood detached by the road side, very opportunely presented itself to our traveller. He alighted and entered, resolving to set out so much earlier the next morning.",Takes place in a public house where the protagonist is worried about being robbed by the landlord,Mark,Sophie,other,This is my mode in many public houses.,In a room in a public house.
"Unfiltered Annotation, Round 14",0837_9208_9214,"""It ought not to be, Sir,"" replied my friend in a very modest tone. ""Ought not to be. Sir!"" Mr. Sykes returned, with some degree of sar- castic warmth ; ""then, Sir, how must you have spent those days of innocent mirth, not to be able to look back on them with envy !"" This sarcasm roused the spirit of my friend Lewellin, who, though mild, was not disposed to be run down by unprovoked insolence; and he said, in a tone somewhat elevated, ""Then I presume. Sir, you look back to the days of your childhood, and sigh over joys departed, never to return ; but permit me to ask, how have you spent the years of manhood, not to have yet attained the possession of a much more rational and exalted happiness than you enjoyed when you were flying a kite or spinning a top? If you think, Sir.",IDK,,Mark,"The sheepfold and the common, or, Within and without",East Timothy,1858,837.txt,other,"We rode on in silence, till we came to D s, where we changed horses ; and while we were waiting for the guard, who was detained at the post office, we amused ourselves in looking at a group of boys who were playing at trap-ball, in the market-place.",Conversation in a mail coach while traveling,Mark,Sophie,other,"We rode on in silence, till we came to D s, where we changed 


horses ; and while we were waiting for the guard, who was detained 


at the post office, we amused ourselves in looking at a group of boys 
who were playing at trap-ball, in the market-place.","Travelling, waiting at the post office."
Round 2 Annotations,0036_11297_11303,"I shall not again transgress ‚Äî not, at least, if I see you are of the same mind ‚Äî but I want to be of use to you. You will not refuse me this pleasure. And who knows ? "" ‚Äî smiling ‚Äî "" I may grow strong enough to transplant you into that division of the heart where brotherly affection only flourishes Myra, you frighten me. You look so awfully white, and Are you sure you are not making some mistake ? "" "" No,"" she returned, in a low tone, but firmly. "" I will never be your wife, Jack.""",IDK,"dialogue, could be domestic; in novel: ‚ÄûHe turned from her, and paced 
 the room to and fro for a minute.‚Äú; ‚Äû Pausing at the door, he rang the house-bell‚Äú",Svenja,The snare of the fowler,Alexander Mrs,1892,36.txt,domestic,"Pausing at the door, he rang the house-bell","dialogue, could be domestic; in novel: ‚ÄûHe turned from her, and paced 
  the room to and fro for a minute.‚Äú;",Svenja,Sophie,domestic,"
""I will come in and see what you have done. 
I have neglected you rather these last days."" 


""Thank you,"" returned Myra; and went on be- 
fore to open the parlour door and give him light 
enough to avoid the dangers of the little stair- 
way.",He follows her into the parlour where they continue their conversation.
1000 Annotations,3060_1732_1738,"See what a fine situation your brother has got ! He has na been at home since he went to the college. O he 's a good boy, Stuart, and I am sure that he '11 do well.\ \"" It is very odd,\"" said James, wishing to change the subject for a little, \"" that Stuart never writes me. You told me that you saw him in Glasgow, but what more ? do Colin Dowell and he still lodge together? and are they as brotherly as ever ?\"" \""""",NA,"In novel: ‚Äûsuppressing, however, the resolution he 
 had just formed of returning home.‚Äú",Svenja,"The writer's clerk, or, The humours of the Scottish metropolis",Unknown,1825,3060.txt,domestic,"suppressing, however, the resolution he",at someones house,Svenja,Sophie,domestic,"He was actually 
going to prepare for accomplishing this 
purpose, when his ears were assailed by 
an unusually loud rap, apparently made 
with the butt-end of a stick, on the outer 
door of the house. As he was the only 
lodger, he imagined that it must be some 
person coming to visit him ; although he 
thought, as it was at this time past ten- 
o'clock, that it was rather an unusual 
hour for any person to call who had busi- 
ness with him. ",His father visits him at the place where he lives.
1000 Annotations,2078_4018_4024,"while she, alas ! en- couraged him, listened with interest to his pointless anecdotes, laughed at his feeble jokes, remained for an unconscionable time alone with him in the garden after dinner, and finally gave him a rose to take away with him. At such times as these Claud would inwardly rage and fume, heaping vituperative epithets upon himself and others, and declaring to himself that the girl was a heartless coquette, that he had been a fool to take her seriously, and that he would assuredly do so no longer. It was all supremely ridiculous, no doubt ; but it seems just possible that some reader of these words may remember to have been almost as absurd himself, once upon a time, and will therefore make allowances for Claud's tem- porary idiocy. Moreover, Nina was unques- tionably even more capricious and perplexing in her ways than the generality of her charm- ing sex. One day she would be melancholy, dreamy, sentimental ; the next she would affect a hardened disbelief in all the finer feelings of our nature, and would nip every approach to tenderness in the bud by laughter too hearty to be feigned. Sometimes she was silent ; sometimes she was discouragingly friendly ; sometimes she looked bored, and confessed that she was so with every appearance of sincerity.",NA,"In novel: ""who was easily prevailed upon to dine at the 
 Moated House. [‚Ä¶] time alone with 
 him in the garden after dinner‚Äú; non-spatial narration; house, garden, thoughts",Svenja,Matrimony,Norris W E William Edward 1847 1925,1881,2078.txt,other,"who was easily prevailed upon to dine at the 
  Moated House",Private house,Svenja,Sophie,domestic,"It is true that he was already almost accepted 
as one of the family at the Moated House, that 
Mr. Flemyng's demeanour towards him had 
entered upon a quasi-benedictory phase, and 
that Miss Flemyng herself, though not exactly 
appearing to seek his society, was generally 
careful to provide him with some excellent 
pretext for seeking hers ; but all this seemed 
to prove very little, when set against sundry 
agonies of jealousy roused by Ninas reception 
of other young men, who, in the natural course 
of things, visited at the house every now and 
again.",It seems to be someone´s home.
"Unfiltered Annotation, Round 7",0753_3626_3632,"What is your objection to being intro- duced T "" I have none. I simply prefer to be left here quietly."" "" I wish you would consent to oblige me, Miss Sharland. I feel so proud of J you, and his lordship admires you exces- sively ; and I wanted, if possible, to help him out of a difficulty."" '^ Indeed ! and pray what use did you intend making of me T ""Why, you see they are getting up theatricals at Waterpark, and they are in a terrible mess for a good leading lady. Now you know you are a dab hand at it, and he wants to ask you to take the prin- cipal part."" """,IDK,"In novel: ‚Äû the stage [‚Ä¶] hastened to my room. [‚Ä¶] Stay ‚Äî I had reckoned too early. A sudden clap of a door behind me, and Mr. Lovering was at my side.‚Äú; ‚ÄúThe company were feasting and chatter- ing‚Äú; ‚Äî> theatre, non-domestic",Svenja,A womans requital : a novel,Dickens Helen,1881,753.txt,other,"Stay ‚Äî I had reckoned too early. A sudden clap of a door behind me, and Mr. Lovering was at my side","Theatre ‚Äû the stage [‚Ä¶] hastened to my room. [‚Ä¶] Stay ‚Äî I had reckoned too early. A sudden clap of a door behind me, and Mr. Lovering was at my side.‚Äú; ‚ÄúThe company were feasting and chatter- ing‚Äú; ‚Äî> theatre, non-domestic",Svenja,Sophie,domestic,"I was to stay all night at 
the Manor.","I think it is a play that takes place during a party at the manor house ("" We are trying to get up a play, my 
dear,"" explained Miss Miriam, by far the 
coolest of the party, '^ and hope you will 
join us."" ) - according to Wikipedia, people lived at a Manor house (https://en.wikipedia.org/wiki/Manor_house)"
Round 2 Annotations,2426_4798_4804,"Even to myself I am pitiless at such times ; but if I am trusted and borne with, and not provoked by injustice or misunderstanding, I can act a tolerably amiable part."" "" You need not fear that I shall ever pro- voke your anger by unkindness,'' said her companion, now assuming the humility of the q3 lover. "" I should not dare to treat you with indijfference, much less with injustice. You have been too long the one bright star of my life to become ever an object to be regarded carelessly by me. You will be to me always the one being on earth for whom I shall entertain the same feelings of ardent love and attachment. Heaven knows what I have suffered for you during the last year ! Ay, for the last year, for you had been in my thoughts long before I dared to breathe a word of my love to your father or yourself. My love for you during many months has been of the most intense description, and you must excuse me, dearest, if it has led me into any unreasonable observations.",IDK,"dialogue, could be domestic",Alex,Society in a garrison town : a novel,Robertson Anne I,1869,2426.txt,DOMESTIC,"Towards the close of the visit, and while standing up to take leave, he asked Dora if she would permit him to speak with her alone for a few minutes; and then Captain Bou- verie, who had been looking so haggard and anxious, with his eyes almost wild from in- tense expectation, that Ellinor's heart was nearly broken, turned quickly to his younger daughter, and said of course she should grant the required interview, and with a cringing, fussy air, not like his usual dignified manner, desired Elliuor to accompany him from the room.",Bigger situation is that the visitor to trying to get the daughter's hand in exchange for getting rid of the father's debt. They're at the family house and he is the visitor.,Alex,Svenja,domestic,"inside at someones house ""And, rising from her seat, Dora Avalked a way 
to a windom recess""",
1000 Annotations,2132_2273_2279,"Some- times, I am angry, and sometimes disquieted, and, though Mary does everything she can, to reconcile her different duties, 1 miss her many a time in what the bairns say ; for Janet has now^ a greater share of the talk in the nursery, than mamma ; and the little girls make no secret of their lamentation, that mamma is not with them, as she used to be, and does not hear them their lessons any more. Mary has a hard task of it, my dear sister ; and I do not think that Lilliesleaf himself approves, though it is all done to please him. But, whether it is right to please her husband, at the expense of her bairns, and to the wasting of the estate, is a question I do not like to consider, though it presses on my mind every day. I never had any such temptation ‚Äö√Ñ√Æ but I believe a woman who is as fortunate as I have been, or as my son Claud's wife is, is very apt to be a hard judge of others. To think of me judging Mary hardly !",NA,,Alex,"Lilliesleaf: being a concluding series of Passages in the life of Mrs. Margaret Maitland, of Sunnyside","Oliphant, Mrs. Margaret",1855,2132.txt,DOMESTIC,"So, the autumn days shortened and chilled, and grew to winter before we were aware ; and truly, it was a content and pleasant house when the fireside lamp was lighted in the long nights, and the cheery fire glimmered through the room.","In the passage, he is reading a letter, and there's no explicit prior note of where he is. But he is presumably at home given the lack of specification, that the letter is coming to visit him, and this phrase after the letter is read.",Alex,Svenja,domestic,the first person narrator is at home receiving letters,
"Unfiltered Annotation, Round 6",2372_7131_7137,"How ? What humbuggin' stuff askin' such a questyin ! Han't we all equil shares in 'em ? Coorse we have. Tharfor, them as wants 'em, must pay for 'em. An' they as wants 'em so bad as to do shootin' for 'em, surely won't objeck to that. Theer appear to be four candydates in the field ; an', kewrous enuf, they're set in pairs, two for each one o' the gals.",IDK,,Alex,The flag of distress : a tale of the South Sea,Reid Mayne 1818 1883,1876,2372.txt,OTHER,"The sun fairly up, he rises to his feet, and walks towards the entrance of the larger cavern ; then stopping in front of it, cries out ","Pirates are arguing in a cavern about who gets to take the women staying in a grotto. The KeyPhrase is from farther up to establish they're in or near the cavern, not in any permanent dwelling. The immediate context for the dialogue is not 100% clear. The most helpful bit of immediate context is: ""While speaking, he has stepped between the two men, staying their encounter. *'Yes; let the fight be a fair one!"" demand several voices, as the pirates come clustering around. "" Look here, shipmates ! "" continues Striker,""",Alex,Svenja,other,outside,
"Unfiltered Annotation, Round 22",1074_1507_1513,""" cried Emily. '' My pride has been sufficiently rebuked by finding myself in need of the kind- ness of one to whom it had been unjustly ex- hibited. Be your own indiscretion visited, in its turn, by a little compunction for having driven me to the resource of hauteur as a gua- rantee against intrusion. My situation at Mr. Hanmer's is a peculiar one. Without intending to wound my feelings, he gave me to understand, on learning our first interview ‚Äö√Ñ√Æ but we will say no more about it! ‚Äö√Ñ√Æ War is over! ‚Äö√Ñ√Æ",IDK,,Alex,"Cecil, or, The adventures of a coxcomb : a novel ..","Gore, Mrs. (Catherine Grace Frances)",1843,1074.txt,OTHER,"The next time I entered the Opera House, I prepared myself to view with a throbbing heart, the scene of my interesting adventure ","Conversation in a box at the opera. Also helpful: "" Miss Barnet was again their companion ; not seated in front of the box, indeed, — but the eyes of a lover readily espied her. "" I have taken the liberty of intruding upon you to express a hope, that you sustained no injury from your fatigues the other night,"" said I,""",Alex,Svenja,other,"opera, audience",
Round 2 Annotations,1983_1622_1628,"If you want a larger allowance you can apply through the lawyer. At the same time, I may as well say at once that any attempt to interfere witli me or mine, or to identify yoiu'self with us, will only have the effect of de- priving you and your sons of all support from the Brassingham estates."" His tone was cold and measured. His words stabbed her through and through. He stooped, not to take her in his arms, not to whisper some gracious words of hope and peace, but only to disengage her clinging arms from liis sturdy limbs, and free him- self from her embrace. She had staked all upon one venture, and she had lost. She had heard he had not loved his wife.",IDK,"thoughts, could be domestic",Jessica,"Love lost, but honour won; a novel","Monro, Theodore Russell",1878,1983.txt,,,,Jessica,Svenja,other,"outside: ""She shrank from him and cowered on the 
mossy sward, and moaned.""",
1000 Annotations,0261_818_824,"Joyful, indeed, is the Major, and assiduous ; Peggy looks demure, taking care not to meet the grave glances of her friends ; while the Baby, serious, unconscious, regards in an impressed kind of way the great panoramic town and its background of mountains. Mrs. Three- penny*bit has declared herself quite charmed with the Baby, Her ingenuousness, she affirms, is as sweet and fresh and wholesome as the flowers in a cottage garden. There are no underhand ways about her. Her eyes never say two things at once. She wouldn't sit in corners, and speak low, and ignore a whole room-full of people for the sake of one. And so forth. It is curious to notice how envy crops up on the most unexpected occasions.",NA,,Jessica,Wolfenberg; a novel,"Black, William",1892,261.txt,nondomestic,"As we make for the shore on this fair-shining 
morning there is a heavy ground-swell running 
in : long, smooth, unbroken, oily-green waves 
that lift the steam-launch high in air and 
seem to leave it suspended for a time, until 
it glides down again, spluttering and snorting 
and rolling, into the next great ocean- valley. ","The passage itself seems to hint at the fact that this passage takes place outside, but if you scroll up a bit, it's a boat!",Jessica,Svenja,other,"outside, water",
1000 Annotations,2393_126167_126173,"‚Äö√Ñ√Æ and I'm blowed if I think Jack Ketch himself would like to have to do with such a fel- low !\ Smedley began to whimper and snivel; while the Burker, deliberately drawing forth his dreadful' looking clasp-knife, proceeded to cut the chords of the box which was in the attic. He opened it : he fSund all his money safe; and his eyes glistened with a savage joy as he resumed possession of his gold. He continued to ransack all the contents of the bos : but he found therein nothing else worth taking. \"" Where's -your own money ?\"" he demanded of Smedley. \""Here, I suppose!\"" and he caught up the pantaloons which the gold-beater had been wearing, and which were lying over a chair.""",NA,,Jessica,The mysteries of the court of London,"Reynolds, George W. M. (George William MacArthur)",1849,2393.txt,domestic,"Jack Smedley was as ghastly as a ghost ; while, 
as he sate up in bed, his hair was literally standing 
on end and his whole frame was quivering.",It's a robbery in a domestic space. (I figured this out by scrolling up.),Jessica,Svenja,domestic,"it's an attic; boarder case;""while 
the Burker, deliberately drawing forth his dreadful' 
looking clasp-knife, proceeded to cut the chords of 
the box which was in the attic.""",
"Unfiltered Annotation, Round 29",2181_5685_5691,"Nay ; you hold jowy silence, Folle-Farine."" She did not move ; her upraised face spoke with- out words the passion of her prayer. ‚Äö√¥¬∂ *'' Save him ! ‚Äö√Ñ√Æ save him ! So little, so you say : and the gods will not hear."" "" The gods are all dead, ‚Äö√Ñ√Æ Folle-Farine."" """,IDK,,Jessica,Folle-Farine,Ouida 1839 1908,1871,2181.txt,nondomestic," He dies there,"" he said, slowly resting his 
tranquil, musing gaze upon the bed of straw. "" It 
is a pity. So little would save him still.","Because this place has a name, I'm led to believe it's more like an inn or other public place than a domestic space: ""She had nothing, — she, who in the 
world of men had dared to be strong, and to shut 
her lips, and to keep her hands clean, and her feet 
straight ; she, whose soul had been closed against 
the Red Mouse.""",Jessica,Svenja,other,"it's a garret; really non-domestic... with rats and dropping water through the roof; poor guys; ""She rose and staggered from the garret, down 
the stairway, into the lower stories of the wilderness 
of wood and stone."";The old man who owned the garret crammed 
into a wallet such few things of metal, or of wood, 
or of paper, as were left in the utter poverty of the 
place, ",
Round 2 Annotations,2053_2858_2864,"‚Äî you can't prove it ; you sailor people can only assert a thing, and then swear fifty oaths that it is so ‚Äî you can't prove it, I say."" "" ' Prove it !' Yes, I can prove it."" "" Stuff! no such thing."" "" But I say I can."" "" You know you can't ; or if you can ‚Äî do it."" "" Well, so I win ‚Äî Now let me see, what was it about?"" "" What ‚Äî was ‚Äî it ‚Äî about?"" repeated Lady Sap- phira, trjdng to recoUect herself in vain. ‚Äî """,IDK,maybe on a ship,Mark,The port admiral,Neale William Johnson,1833,2053.txt,domestic,"The Port Admiral now led the way into the breakfast-room, the folding windows of which opened upon the ten-ace.","Many digressions and asides, but the scene appears to be happening in the Breakfast room",Mark,Svenja,domestic,"breakfast at private house for holidays at the sea-side; All things being ready, they set off through 
the noble avenue of trees fronting the house, and 
tm-ning off to the right, arrived at a low railing 
which divided the sward of the park from the 
smooth beach of Barn Pool.",
1000 Annotations,2148_1792_1798,"He, too, was breathless, his whole physical being agi- tated, his head hot and throbbing, his heart choking him. He could not speak to the Duchess, whom he met a moment after coming along the corridor with a packet of papers in her hand. \It is all over,\"" he said incoherently, waving his hand as he passed her. The only idea in his mind for the moment was of in- dignity and wrong. CHAPTER IX. ACTING FOR HERSELF. The Duchess's little sitting - room had not for years enclosed so melancholy a group.""",NA,,Mark,The Duke's daughter and The Fugitives,"Oliphant, Mrs. Margaret",1890,2148.txt,domestic,"It was about eleven o'clock when Winton presented himself at the door of the Duke's room ; which was a handsome room, full of books, with a large window looking out upon the park, and some of the finest of the family pictures upon the walls.",Scenes before and after chapter break take place in the same house- the Duke's room and the Duchess' sitting room,Mark,Svenja,domestic,"in a private house ""Winton found himself in the cor- 
ridor, while the crash of the great door 
swung behind him echoed through the 
house, """,
1000 Annotations,1675_1721_1727,"Every trick, every subtle invention to cheat the enemy that I could read of, I treasured up carefully, being fully impressed with the notion that roguery meant law, and equity was only another name for odd and even. \ My days were spent haranguing special juries of housemaids and laundresses, cross-examining the cook, charging the under butler, and passing sentence of death upon the pantry boy, who, I may add, was invariably hanged when the court rose. \"" If the mutton were overdone, or the turkey burned, I drew up an indictment against old Margaret, and against the kitchen-maid as ac- complice ; and the family hungered while I harangued ; and, in fact, into such disrepute did I bring the legal profession, by the score of annoyance of which I made it the vehicle, that my father got a kind of holy horror of law courts, judges, and crown solicitors, and absented himself from the assizes the same year, for which, being a high sheriif, he paid a penalty of ¬¨¬£5 00. \"" The next day I was sent off in disgrace to Dublin to begin my career in college, and eat the usual quartos and folios of beef and mutton which qualify a man for the woolsack. \"" Years rolled over, in which, after an ineffectual effort to get through college, the only examination I ever got being a jubilee for the king's birth-day, I was at length called to the Irish bar, and saluted by my friends as Counsellor Power. The whole thing was so like a joke to me, that it kept me in laughter for three terms, and in fact it was the best thing could happen me, for I had nothing else to do. The hall of the Four Courts was a very pleasant lounge, plenty of agreeable fellows that never earned sixpence, or were likely to do so.""",NA,,Mark,"Charles O'Malley, the Irish dragoon","Lever, Charles James",1841,1675.txt,other,"Webber had a large acquaintance in Dublin, and soon made me known to them all ; among others, the officers of the — th Light Dragoons, in which regiment Power was a Captain, were his particular friends, and we had frequent invitations to dine at their mess.",Soldier's mess hall,Mark,Svenja,other,"at the mess; dining hall? ""I sat near him the second day we dined at the mess, and was much 
pleased at many slight attentions in his manner towards me.""",
"Unfiltered Annotation, Round 21",2089_5904_5910,"Not at all ; it is because you have been insane enough to refuse a man whom you love, and who very likely won't give you a second chance.' ' I beg to say,' replied Georgina, ' that I have never been in love in my life. If I felt the slightest symptom of such a disease coming on, I should instantly set sail for the Antarctic Ocean and never be heard of again. I should feel that I had genossen das irdische Glilck^ and that it was high time for me to disappear from civilised society.' ' It isn't the slightest use to talk to me like that,' returned Clare loftily; 4t doesn't deceive me for a moment.' '",IDK,,Mark,Adrian Vidal,"Norris, William Edward",1885,2089.txt,domestic,"Something in the tone in which the last words were spoken caused Clare to make a rapid deduction, and late that night she invaded her sister-in-law's bedroom with the stern air of one who means to stand no nonsense.",Sister in-law's bedroom,Mark,Svenja,domestic,Sister in-law's bedroom,
Round 2 Annotations,1651_322_328,"But after his two years' incarceration are over, he will come out again and claim you.' ' I will have broken the chain by that time. I will have gone far away where he shall never find me.' ' And you met Cortes in San Francisco ?* * Yes, sir.* *And that scoundrel Sandie Macpherson had some hand in your marrying him ? ' The girl's cheek became as white as ashes. ' Who has told you that ?",IDK,"dialogue, could be domestic",Sophie,Phyllida. A life drama,Lean Florence formerly Church formerly Marryat,1882,1651.txt,domestic,"* She lives with me,' she replied, with 
caution ; ' do you wish to send her a 
message ? * ",KeyPrase: page 14. Nelson Cole visits Stephanie at her friend¥s place (where Stephanie lives too),Sophie,Svenja,domestic,"at someone's home; ""But he had not had time to finish his sen- 
tence before the door of the house was thrown 
open, and Stephanie Harcourt appeared upon 
the threshold.""",
Round 2 Annotations,0421_10949_10955,"Among other things, the talk turned on the revolt which had broken out the day before. Mr. Cameron belonged to a family which had distinguished itself by upholding liberal views during the long reign of the Tory party in England and Scotland. A thorough Liberal himself, he had long been disgusted with the state of things in Russia ; and, though far too wary (canny Scot that he was) to speak out his mind openly, he thoroughly sympathised with the conspirators, and, so far from being shocked at the outbreak, looked on its authors as heroes. Helen had been brought up in her father's views, and shared them with all the strength of her enthusiastic nature. Now that Mr. Cameron was alorte with her, and pretty sure that there were no ears in the walls, he spoke warmly about the unhappy men who had been checkmated the day before. He knew some of the leaders ; and lie spoke of them as martyrs in the cause of freedom. One expression, which he used, struck Helen very much.",IDK,"non-spatial narration, could be other",Sophie,Helen Cameron: from grub to butterfly,Cameron Helen,1871,421.txt,domestic,"The evening after the revolt there was a 
party at Mr. Eandal's house ; and Helen had 
promised to be there. ","They are in Mr. Eandal¥s home. (The passage is still not bound to a space, but it is in the context of this party at someone¥s house)",Sophie,Svenja,domestic,"at Helen's home ""When Helen returned home, it was past 
Mr. Cameron's bed-time ; but she found him""",
1000 Annotations,0356_2549_2555,"She had been reading a book containing the lives of the early English painters, lent her in all innocence by Ralph Weldon, and VI its perusal had saddened her, as it might have done many girls of a more sanguine temperament An optimist would have dis- covered that fortunes were made in those days, as wirness the courtly Sir Joshua, with his fine coach, which he was so anxious should not resemble an apothecary's ; but she had dwelt upon the darker pictures, ‚Äö√Ñ√Æ on Wilson struggling in his garret, and* without means to purchase the colours and canvas for his commissions ; on Barr}', sequestered in the squalid den, occasionally cheered by the presence of his great countr} Tnan Burke ; or Morland, taking his wet pigs to the pawnbrokers, and other depressing incidents, illustrating the general unprofitableness of an artistic career. And, woman-like, she remem- bered with a kind of dismay that Ralph had many points in common with these unfortu- nate sons of genius, notably a disinchnation to follow public taste, merely for the sake of the pecuniar}- reward it would bring. Had he not spoken in the most slighting terms of the art of Mr Flash, who had amazed thousands by painting what ever}-body could understand ? Thinking over these things made her gloomy as to the future. Enthusiasts, of course, love their art ; but those who are not enthusiasts themselves, but only con- nected with them, love their art according as it brings them more or less of what they want.",NA,,Sophie,The queen of two worlds,"Brooke, Laurence",1879,356.txt,domestic,"/-f^-vy^ELEX stood at the window of the 
^ ïw'^ '''- dlncf^' drawine-room in Thomas 
<J^'3r^ Street, waiting for her lover, and 
gazing on the prospect before her 
with eyes which rejected as in a mirror the 
discontent of her soul. ","She is in a room, and she seems to be alone.",Sophie,Svenja,domestic,reading a book at home,
"Unfiltered Annotation, Round 13",0050_4735_4741,"‚Äö√Ñ√Æ How could you leave us so abruptly?"" Talbot looked confused; he had no dissimulation, and could not even at- tempt it with one he venerated so highly. His father loved him for his candour; those characters were ever dearest to him that were most open to inspection, and that did not shun the scrutiny of lynx-eyed friendship. "" Can you not answer me? ‚Äö√Ñ√Æ What am I to suppose from your silence ?'^ inquired the peer, with a stern air.",IDK,,Sophie,"Caprice; or, Anecdotes of the Listowel family. An Irish novel",An Unknown,1824,50.txt,domestic,"Belmont entered the building, and was 
startled on seeing Eleanor. ","They are inside someone¥s house. Also: ""Lady Elizabeth who, with the rest of 
the company, returned from the garden, 
was much pleased to hear their party 
had such an acquisition as Talbot; and 
declaring her satisfaction in having her 
friends assembled, hoped they would not 
leave her, at least for a few days.""",Sophie,Svenja,domestic,inside a private house with garden,
